university,uni,is_unionized,responses,col,col_9_mo,pay_9_equivalent,pay_12_no_summer,pay_12_plus_summer,pay_9_to_col,pay_12_no_summer_to_col,pay_12_plus_summer_to_col,min_stipend,min_stipend_to_col
Indiana University,Indiana,FALSE,101,24422,18316.5,16500,20000,20000,-1816.5,-4422,-4422,9816,-14606
Michigan State University (MSU),MSU,TRUE,65,24390,18292.5,18750,24000,25000,457.5,-390,610,14820,-9570
Northwestern University (NU),Northwestern,TRUE,120,28280,21210,24616.5,32650,32650,3406.5,4370,4370,33504,5224
Ohio State University (OSU),OSU,FALSE,87,23844,17883,19350,25000,25200,1467,1156,1356,19280,-4564
Pennsylvania State University (Penn State),Penn State,FALSE,122,26281,19710.75,21181.875,26000,27825,1471.125,-281,1544,20790,-5491
Purdue University - West Lafayette,Purdue,FALSE,99,23533,17649.75,18000,23500,23710,350.25,-33,177,15448,-8085
Rutgers the State University of New Jersey - New Brunswick,Rutgers,TRUE,60,30768,23076,22750,25480,26484.5,-326,-5288,-4283.5,29426,-1342
University of Illinois - Urbana- Champaign (UIUC),UIUC,TRUE,130,25039,18779.25,19117.5,24000,24375,338.25,-1039,-664,18500,-6539
University of Iowa (UI),UI,TRUE,43,22236,16677,19500,20100,21000,2823,-2136,-1236,20041,-2195
University of Maryland - College Park (UMD),UMD,FALSE,102,35036,26277,20000,22735.5,24062,-6277,-12300.5,-10974,18979,-16057
University of Michigan - Ann Arbor (UM),Michigan,TRUE,149,27672,20754,22500,30000,30000,1746,2328,2328,22433,-5239
University of Minnesota - Twin Cities (UM),Minn,FALSE,130,26179,19634.25,19062.5,25000,25000,-571.75,-1179,-1179,15342,-10837
University of Nebraska - Lincoln (NU),Nebraska,FALSE,24,22837,17127.75,16000,17338,20000,-1127.75,-5499,-2837,10300,-12537
University of Wisconsin - Madison (UW),UW,TRUE,146,25765,19323.75,19687.5,24816,25000,363.75,-949,-765,20500,-5265
