university,uni,is_unionized,col,min_stipend
University of Maryland - College Park (UMD),UMD,FALSE,35036,18979
University of Michigan - Ann Arbor (UM),Michigan,TRUE,27672,22433
University of Illinois - Urbana- Champaign (UIUC),UIUC,TRUE,25039,18500
Indiana University,Indiana,FALSE,24422,9816
University of Iowa (UI),UI,TRUE,22236,20041
Michigan State University (MSU),MSU,TRUE,24390,14820
University of Minnesota - Twin Cities (UM),Minn,FALSE,26179,15342
University of Nebraska - Lincoln (NU),Nebraska,FALSE,22837,10300
Northwestern University (NU),Northwestern,TRUE,28280,33504
Ohio State University (OSU),OSU,FALSE,23844,19280
Pennsylvania State University (Penn State),Penn State,FALSE,26281,20790
Purdue University - West Lafayette,Purdue,FALSE,23533,15448
Rutgers the State University of New Jersey - New Brunswick,Rutgers,TRUE,30768,29426
University of Wisconsin - Madison (UW),UW,TRUE,25765,20500
