University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
California Institute of Technology (Caltech),Astronomy,"$36,500",1.41,2020-2021,1st,"$36,500",,,,
University of California - Santa Cruz,Literature ,"$35,000",1.30,2020-2021,1st,"$35,000",,,,
University of California - Santa Cruz,Literature ,"$35,000",1.30,2020-2021,1st,"$35,000",,,,
University of California - Santa Cruz,Literature ,"$3,500",0.13,2020-2021,1st,"$3,500",,,,
University of California - Santa Cruz,Literature ,$35,0.00,2020-2021,1st,$35,,,,
University of California - Santa Cruz,Program in Biomedical Sciences and Engineering (MCDB),"$35,892",1.33,2021-2022,1st,"$35,892",,,,"Extra 2500/yr for housing stipend, indefinitely"
,,"$33,000",,2020-2021,,"$33,000",,,,
University of Minnesota - Twin Cities (UM),Neuroscience,"$32,600",1.42,2020-2021,1st,"$33,000",,,$400,
University of Minnesota - Twin Cities (UM),Neuroscience,"$30,000",1.31,2020-2021,1st,"$30,000",,,,
University of Minnesota - Twin Cities (UM),Neuroscience,"$33,000",1.44,2020-2021,1st,"$33,000",,,,
University of Minnesota - Twin Cities (UM),Graduate Program in Neuroscience,"$32,450",1.42,2020-2021,3rd,"$33,000",,,$550,
Brown University,Computer Science,"$43,000",1.89,2021-2022,4th,,"$29,000","$14,000",,Post-candidacy. Numbers are rounded for privacy.
University of Colorado - Boulder (UCB),Psychology ,"$36,000",1.41,2020-2021,4th,"$36,000",,,,
University of Minnesota - Twin Cities (UM),neuroscience,"$24,000",1.05,2021-2022,1st,"$24,000",,,,
Texas Tech University (TTU),Media and Communication,"$17,700",0.87,2021-2022,1st,,"$19,000","$2,500","$3,800","Stipend $9,500 for each fall and spring and $2,500 for summer. $1000 scholarship each semester. $4000 fellowship. $500 travel. The whole package is $29,000 for up to 4 years. Tuition and partial fee waived, but need to purchase insurance for $2,300 a year and pay $600-750 in other fee."
Pennsylvania State University (Penn State),Bioengineering,"$28,000",1.25,2020-2021,1st,"$28,000",,,,
University of Georgia (UGA),Chemistry,"$25,000",1.18,2021-2022,1st,"$25,000",,,,
University of Utah,Atmospheric science,"$30,000",1.35,2020-2021,,"$30,000",,,,
University of North Carolina - Chapel Hill (UNC),French,"$15,700",0.71,2020-2021,1st,,"$15,700",,,"tuition, healthcare, and all fees paid for by the university, not with stipend money"
University of Notre Dame (ND),Computer Science and Engineering/p.h.d,"$39,928",1.95,2020-2021,1st,"$40,000",,,$72,Select Fellowship Award
Ohio University (OU),Chemistry,"$24,000",1.14,2021-2022,1st,"$24,000",,,,
University of California - Berkeley,sociology,"$28,000",1.01,2020-2021,2nd,"$28,000",,,,
Duke University (DU),Religious Studies,"$32,250",1.45,2020-2021,1st,"$32,250",,,,
University of California - Irvine (UCI),Chemistry,"$33,000",1.13,2021-2022,,"$33,000",,,,
University of Pennsylvania,School of Arts & Sciences (SAS),"$36,000",1.49,2020-2021,1st,"$36,000",,,,"""$30,940. over ten months during the academic year"" + ""additional $5,085. of summer fellowship support"""
,School of Arts & Sciences (SAS),"$36,000",,2020-2021,1st,"$36,000",,,,"""$30,940. over ten months during the academic year"" + ""additional $5,085. of summer fellowship support"""
University of Pennsylvania,School of Arts & Sciences (SAS),"$3,600",0.15,2020-2021,1st,"$3,600",,,,"""$30,940. over ten months during the academic year"" + ""additional $5,085. of summer fellowship support"""
Massachusetts Institute of Technology (MIT),Department of Urban Studies and Planning,"$40,560",1.45,2020-2021,2nd,"$40,560",,,,"In Fall 2020, dept transitioned from 9-month stipend to 12-month stipend with a 5-year funding guarantee. MIT waived $370 activity fee in 2020-21 only. "
University of California - Santa Barbara (UCSB),Statistics,"$23,000",0.88,2020-2021,,,"$23,000",,,
Yale University (YU),,"$38,600",1.56,2020-2021,1st,,"$33,600","$5,000",,
University of Alabama (UA),Psychology,"$14,004",0.67,2021-2022,1st,,"$14,004",,,
University of Illinois - Urbana- Champaign (UIUC),Materials Science and Engineering,"$30,000",1.36,2020-2021,,,"$30,000",,,
Boston College (BC),english ,"$24,000",0.86,2021-2022,1st,,"$24,000",,,
Missouri University of Science &amp; Technology,Mechanical Engineering,"$21,700",,2020-2021,4th,"$24,700",,,"$3,000",
University of Virginia (UVA),French,"$22,000",0.96,2020-2021,2nd,"$22,000",,,,
Columbia University (CU),Biochemistry/Biomedical Sciences,"$41,900",1.41,2020-2021,1st,"$41,900",,,,"Co-pay health insurance included, tuition and fees covered"
University of Maine,Graduate School of Biomedical Science and Engineering,"$30,000",1.40,2020-2021,3rd,"$30,000",,,,
University of Texas - Austin (UT),Biology,"$28,000",1.23,2020-2021,1st,"$28,000",,,,
University of Notre Dame (ND),Physics,"$31,000",1.51,2020-2021,1st,"$31,000",,,,
University of Georgia (UGA),poultry science,"$12,400",0.59,2020-2021,1st,"$16,000",,,"$3,600",not enough to survive
Rutgers the State University of New Jersey - New Brunswick,Computer Science,"$30,500",1.18,2020-2021,1st,,"$20,500","$10,000",,
University of Chicago (UC),Molecular Engineering,"$36,000",1.48,2021-2022,1st,"$36,000",,,,36k stipend (TA) + 500 moving bonus.
